draw_id,date,n1,n2,n3,n4,n5,n6
2628,"Saturday, 14 March 2026",12,22,30,32,42,58
2627,"Wednesday, 11 March 2026",2,5,49,54,56,58
2626,"Saturday, 7 March 2026",4,13,14,20,22,47
2625,"Wednesday, 4 March 2026",1,10,11,17,37,57
2624,"Saturday, 28 February 2026",2,7,15,33,38,48
2623,"Wednesday, 25 February 2026",7,11,12,32,38,55
2622,"Saturday, 21 February 2026",2,8,39,43,45,55
2621,"Wednesday, 18 February 2026",6,13,22,36,50,56
2620,"Saturday, 14 February 2026",6,10,18,32,37,46
2619,"Wednesday, 11 February 2026",14,16,22,24,29,35
2618,"Saturday, 7 February 2026",1,3,12,21,48,51
2617,"Wednesday, 4 February 2026",3,17,20,26,51,53
2616,"Saturday, 31 January 2026",15,32,36,39,40,48
2615,"Wednesday, 28 January 2026",9,18,19,36,37,49
2614,"Saturday, 24 January 2026",7,23,28,37,50,58
2613,"Wednesday, 21 January 2026",9,18,32,35,54,56
2612,"Saturday, 17 January 2026",24,32,38,49,55,58
2611,"Wednesday, 14 January 2026",16,34,36,43,56,57
2610,"Saturday, 10 January 2026",7,18,29,36,51,58
2609,"Wednesday, 7 January 2026",4,6,29,44,49,57
2608,"Saturday, 3 January 2026",1,24,33,34,45,55
2607,"Wednesday, 31 December 2025",4,5,10,16,22,45
2606,"Saturday, 27 December 2025",8,11,24,32,43,45
2605,"Wednesday, 24 December 2025",7,12,20,39,43,56
2604,"Saturday, 20 December 2025",5,40,47,49,53,54
2603,"Wednesday, 17 December 2025",1,6,12,26,40,54
2602,"Saturday, 13 December 2025",9,18,30,53,54,58
2601,"Wednesday, 10 December 2025",10,13,14,22,32,48
2600,"Saturday, 6 December 2025",4,6,13,15,29,35
2599,"Wednesday, 3 December 2025",1,8,29,32,42,53
2598,"Saturday, 29 November 2025",8,18,22,46,54,58
2597,"Wednesday, 26 November 2025",4,8,25,32,33,36
2596,"Saturday, 22 November 2025",4,5,6,15,39,50
2595,"Wednesday, 19 November 2025",14,19,21,26,56,58
2594,"Saturday, 15 November 2025",13,31,33,43,46,53
2593,"Wednesday, 12 November 2025",9,16,20,39,44,56
2592,"Saturday, 8 November 2025",9,10,19,38,52,55
2591,"Wednesday, 5 November 2025",9,13,33,51,55,58
2590,"Saturday, 1 November 2025",1,12,21,24,49,56
2589,"Wednesday, 29 October 2025",2,10,22,43,45,53
2588,"Saturday, 25 October 2025",7,27,39,45,48,56
2587,"Wednesday, 22 October 2025",8,17,31,40,44,53
2586,"Saturday, 18 October 2025",5,27,33,37,41,58
2585,"Wednesday, 15 October 2025",16,17,20,27,49,51
2584,"Saturday, 11 October 2025",23,24,27,33,36,58
2583,"Wednesday, 8 October 2025",7,11,29,35,46,56
2582,"Saturday, 4 October 2025",4,8,36,41,43,57
2581,"Wednesday, 1 October 2025",5,12,14,20,28,30
2580,"Saturday, 27 September 2025",7,12,14,32,37,52
2579,"Wednesday, 24 September 2025",16,23,32,42,49,58
2578,"Saturday, 20 September 2025",4,5,14,21,34,52
2577,"Wednesday, 17 September 2025",12,18,23,27,38,52
2576,"Saturday, 13 September 2025",12,20,21,22,28,33
2575,"Wednesday, 10 September 2025",19,26,28,35,37,46
2574,"Saturday, 6 September 2025",3,12,28,39,41,50
2573,"Wednesday, 3 September 2025",17,25,26,30,44,48
2572,"Saturday, 30 August 2025",8,25,29,36,46,51
2571,"Wednesday, 27 August 2025",3,11,17,28,44,52
2570,"Saturday, 23 August 2025",10,14,22,31,32,49
2569,"Wednesday, 20 August 2025",2,14,16,19,41,43
2568,"Saturday, 16 August 2025",2,15,17,22,23,50
2567,"Wednesday, 13 August 2025",2,4,19,34,38,50
2566,"Saturday, 9 August 2025",4,15,38,39,41,51
2565,"Wednesday, 6 August 2025",3,5,18,26,31,49
2564,"Saturday, 2 August 2025",6,16,25,30,50,51
2563,"Wednesday, 30 July 2025",6,27,29,34,47,50
2562,"Saturday, 26 July 2025",12,16,20,22,27,52
2561,"Wednesday, 23 July 2025",5,8,15,17,40,52
2560,"Saturday, 19 July 2025",2,8,11,13,36,46
2559,"Wednesday, 16 July 2025",8,10,27,44,45,48
2558,"Saturday, 12 July 2025",5,6,7,15,30,34
2557,"Wednesday, 9 July 2025",1,8,12,13,31,35
2556,"Saturday, 5 July 2025",8,14,29,30,49,52
2555,"Wednesday, 2 July 2025",8,11,26,35,44,45
2554,"Saturday, 28 June 2025",1,13,18,20,47,50
2553,"Wednesday, 25 June 2025",16,17,18,41,45,46
2552,"Saturday, 21 June 2025",1,28,32,39,41,48
2551,"Wednesday, 18 June 2025",10,13,27,30,38,39
2550,"Saturday, 14 June 2025",5,8,17,18,29,35
2549,"Wednesday, 11 June 2025",16,32,35,38,43,46
2548,"Saturday, 7 June 2025",1,16,36,40,42,50
2547,"Wednesday, 4 June 2025",8,24,32,34,36,52
2546,"Saturday, 31 May 2025",8,19,26,31,46,49
2545,"Wednesday, 28 May 2025",1,2,3,18,29,32
2544,"Saturday, 24 May 2025",3,7,29,33,37,46
2543,"Wednesday, 21 May 2025",6,17,25,29,38,46
2542,"Saturday, 17 May 2025",12,28,29,38,46,49
2541,"Wednesday, 14 May 2025",9,18,19,30,31,40
2540,"Saturday, 10 May 2025",3,13,18,24,30,31
2539,"Wednesday, 7 May 2025",9,10,27,30,31,45
2538,"Saturday, 3 May 2025",4,5,7,10,11,41
2537,"Wednesday, 30 April 2025",8,19,20,31,45,52
2536,"Saturday, 26 April 2025",18,20,28,30,31,36
2535,"Wednesday, 23 April 2025",1,5,22,31,34,44
2534,"Saturday, 19 April 2025",6,9,11,33,38,52
2533,"Wednesday, 16 April 2025",9,16,20,23,26,51
2532,"Saturday, 12 April 2025",3,9,16,17,31,48
2531,"Wednesday, 9 April 2025",3,5,27,45,49,50
2530,"Saturday, 5 April 2025",7,11,34,37,39,42
2529,"Wednesday, 2 April 2025",6,7,22,29,44,50
2528,"Saturday, 29 March 2025",11,18,28,36,46,48
2527,"Wednesday, 26 March 2025",12,18,21,25,27,38
2526,"Saturday, 22 March 2025",3,12,16,18,31,51
2525,"Wednesday, 19 March 2025",2,3,17,27,29,37
2524,"Saturday, 15 March 2025",6,23,24,34,47,49
2523,"Wednesday, 12 March 2025",7,12,24,32,39,48
2522,"Saturday, 8 March 2025",7,19,23,27,31,52
2521,"Wednesday, 5 March 2025",2,8,37,45,48,51
2520,"Saturday, 1 March 2025",8,12,20,22,49,50
2519,"Wednesday, 26 February 2025",27,36,38,44,45,47
2518,"Saturday, 22 February 2025",4,7,12,13,24,51
2517,"Wednesday, 19 February 2025",11,13,32,43,50,51
2516,"Saturday, 15 February 2025",5,9,25,39,41,50
2515,"Wednesday, 12 February 2025",3,9,23,41,42,48
2514,"Saturday, 8 February 2025",1,4,14,17,20,34
2513,"Wednesday, 5 February 2025",5,7,18,28,30,42
2512,"Saturday, 1 February 2025",14,15,26,41,42,52
2511,"Wednesday, 29 January 2025",6,11,13,24,32,44
2510,"Saturday, 25 January 2025",23,26,28,29,39,51
2509,"Wednesday, 22 January 2025",6,9,23,45,46,48
2508,"Saturday, 18 January 2025",13,20,25,33,38,40
2507,"Wednesday, 15 January 2025",4,9,10,35,37,41
2506,"Saturday, 11 January 2025",1,10,20,22,37,42
2505,"Wednesday, 8 January 2025",16,22,24,34,38,49
2504,"Saturday, 4 January 2025",3,22,23,25,33,52
2503,"Wednesday, 1 January 2025",3,7,18,23,24,52
2502,"Saturday, 28 December 2024",7,18,25,28,29,44
2501,"Saturday, 21 December 2024",6,9,23,30,33,41
2500,"Wednesday, 18 December 2024",5,7,28,30,38,45
2499,"Saturday, 14 December 2024",6,8,11,39,42,47
2498,"Wednesday, 11 December 2024",6,11,19,24,50,52
2497,"Saturday, 7 December 2024",10,20,30,47,49,50
2496,"Wednesday, 4 December 2024",4,14,19,20,21,48
2495,"Saturday, 30 November 2024",7,24,34,37,40,52
2494,"Wednesday, 27 November 2024",5,8,13,15,39,43
2493,"Saturday, 23 November 2024",3,9,10,16,22,25
2492,"Wednesday, 20 November 2024",2,3,22,33,36,41
